1.434673	0.636032	0.309074
1.439698	0.638797	0.316122
1.444724	0.641583	0.323257
1.449749	0.644390	0.330477
1.454774	0.647219	0.337784
1.459799	0.650068	0.345178
1.464824	0.652939	0.352659
1.469849	0.655830	0.360227
1.474874	0.658743	0.367884
1.479899	0.661676	0.375629
1.484925	0.664629	0.383463
1.489950	0.667603	0.391387
1.494975	0.670597	0.399400
1.500000	0.673611	0.407504
